"tempSet";"tempActual";"timestamp"
54.0;54.621;10/26/17 5:37 AM
54.0;54.53;10/26/17 5:37 AM
54.0;54.445;10/26/17 5:37 AM
54.0;54.2055;10/26/17 5:38 AM
54.0;53.927;10/26/17 5:38 AM
54.0;53.544;10/26/17 5:38 AM
54.0;53.0873;10/26/17 5:38 AM
54.0;52.766;10/26/17 5:39 AM
54.0;52.519;10/26/17 5:39 AM
54.0;52.3;10/26/17 5:39 AM
54.0;52.25;10/26/17 5:39 AM
54.0;52.316;10/26/17 5:40 AM
54.0;52.371;10/26/17 5:40 AM
54.0;52.541;10/26/17 5:40 AM
54.0;52.79;10/26/17 5:40 AM
54.0;53.049;10/26/17 5:41 AM
54.0;53.2836;10/26/17 5:41 AM
54.0;53.523;10/26/17 5:41 AM
54.0;53.666;10/26/17 5:41 AM
54.0;53.8309;10/26/17 5:42 AM
54.0;53.962;10/26/17 5:42 AM
54.0;54.07;10/26/17 5:42 AM
54.0;54.16;10/26/17 5:42 AM
54.0;54.2364;10/26/17 5:43 AM
54.0;54.379;10/26/17 5:43 AM
54.0;54.39;10/26/17 5:43 AM
54.0;54.478;10/26/17 5:43 AM
54.0;54.5;10/26/17 5:44 AM
54.0;54.51;10/26/17 5:44 AM
54.0;54.61;10/26/17 5:44 AM
54.0;54.61;10/26/17 5:44 AM
54.0;54.632;10/26/17 5:45 AM
54.0;54.64;10/26/17 5:45 AM
54.0;54.698;10/26/17 5:45 AM
54.0;54.654;10/26/17 5:45 AM
54.0;54.52;10/26/17 5:46 AM
54.0;54.379;10/26/17 5:46 AM
54.0;54.1418;10/26/17 5:46 AM
54.0;53.712;10/26/17 5:46 AM
54.0;53.1818;10/26/17 5:47 AM
54.0;52.832;10/26/17 5:47 AM
54.0;52.553;10/26/17 5:47 AM
54.0;52.294;10/26/17 5:47 AM
54.0;52.2;10/26/17 5:48 AM
54.0;52.14;10/26/17 5:48 AM
54.0;52.162;10/26/17 5:48 AM
54.0;52.294;10/26/17 5:48 AM
54.0;52.5345;10/26/17 5:49 AM
54.0;52.788;10/26/17 5:49 AM
54.0;53.026;10/26/17 5:49 AM
54.0;53.262;10/26/17 5:49 AM
54.0;53.49;10/26/17 5:50 AM
54.0;53.644;10/26/17 5:50 AM
54.0;53.8427;10/26/17 5:50 AM
54.0;53.951;10/26/17 5:50 AM
54.0;54.05;10/26/17 5:51 AM
54.0;54.127;10/26/17 5:51 AM
54.0;54.2036;10/26/17 5:51 AM
54.0;54.28;10/26/17 5:51 AM
54.0;54.28;10/26/17 5:52 AM
54.0;54.36;10/26/17 5:52 AM
54.0;54.39;10/26/17 5:52 AM
54.0;54.478;10/26/17 5:52 AM
54.0;54.5;10/26/17 5:53 AM
54.0;54.5;10/26/17 5:53 AM
54.0;54.533;10/26/17 5:53 AM
54.0;54.599;10/26/17 5:53 AM
54.0;54.61;10/26/17 5:54 AM
54.0;54.61;10/26/17 5:54 AM
54.0;54.643;10/26/17 5:54 AM
54.0;54.698;10/26/17 5:54 AM
54.0;54.72;10/26/17 5:55 AM
54.0;54.72;10/26/17 5:55 AM
54.0;54.632;10/26/17 5:55 AM
54.0;54.43;10/26/17 5:55 AM
54.0;54.313;10/26/17 5:56 AM
54.0;54.0282;10/26/17 5:56 AM
54.0;53.622;10/26/17 5:56 AM
54.0;53.2027;10/26/17 5:56 AM
54.0;52.843;10/26/17 5:57 AM
54.0;52.564;10/26/17 5:57 AM
54.0;52.382;10/26/17 5:57 AM
54.0;52.2;10/26/17 5:57 AM
54.0;52.14;10/26/17 5:58 AM
54.0;52.195;10/26/17 5:58 AM
54.0;52.4;10/26/17 5:58 AM
54.0;52.656;10/26/17 5:58 AM
54.0;52.9;10/26/17 5:59 AM
54.0;53.15;10/26/17 5:59 AM
54.0;53.3982;10/26/17 5:59 AM
54.0;53.589;10/26/17 5:59 AM
54.0;53.76;10/26/17 6:00 AM
54.0;0.0;10/26/17 6:00 AM
54.0;54.16;10/26/17 6:00 AM
54.0;54.2691;10/26/17 6:01 AM
54.0;54.28;10/26/17 6:01 AM
54.0;54.36;10/26/17 6:01 AM
54.0;54.412;10/26/17 6:01 AM
54.0;54.5;10/26/17 6:02 AM
54.0;54.5;10/26/17 6:02 AM
54.0;54.5;10/26/17 6:02 AM
54.0;54.566;10/26/17 6:02 AM
54.0;54.61;10/26/17 6:03 AM
54.0;54.61;10/26/17 6:03 AM
54.0;54.61;10/26/17 6:03 AM
54.0;54.68;10/26/17 6:03 AM
54.0;54.72;10/26/17 6:04 AM
54.0;54.72;10/26/17 6:04 AM
54.0;54.64;10/26/17 6:04 AM
54.0;54.5;10/26/17 6:04 AM
54.0;54.412;10/26/17 6:05 AM
54.0;54.1727;10/26/17 6:05 AM
54.0;53.824;10/26/17 6:05 AM
54.0;53.3355;10/26/17 6:05 AM
54.0;52.833;10/26/17 6:06 AM
54.0;52.519;10/26/17 6:06 AM
54.0;52.316;10/26/17 6:06 AM
54.0;52.25;10/26/17 6:06 AM
54.0;52.239;10/26/17 6:07 AM
54.0;52.151;10/26/17 6:07 AM
54.0;52.31;10/26/17 6:07 AM
54.0;52.53;10/26/17 6:07 AM
54.0;52.777;10/26/17 6:08 AM
54.0;53.048;10/26/17 6:08 AM
54.0;53.2945;10/26/17 6:08 AM
54.0;53.534;10/26/17 6:08 AM
54.0;53.69;10/26/17 6:09 AM
54.0;53.856;10/26/17 6:09 AM
54.0;53.98;10/26/17 6:09 AM
54.0;54.105;10/26/17 6:09 AM
54.0;54.16;10/26/17 6:10 AM
54.0;54.256;10/26/17 6:10 AM
54.0;54.28;10/26/17 6:10 AM
54.0;54.357;10/26/17 6:10 AM
54.0;54.39;10/26/17 6:11 AM
54.0;54.39;10/26/17 6:11 AM
54.0;54.44;10/26/17 6:11 AM
54.0;54.5;10/26/17 6:11 AM
54.0;54.51;10/26/17 6:12 AM
54.0;54.61;10/26/17 6:12 AM
54.0;54.61;10/26/17 6:12 AM
54.0;54.65;10/26/17 6:12 AM
54.0;54.72;10/26/17 6:13 AM
54.0;54.72;10/26/17 6:13 AM
54.0;54.65;10/26/17 6:13 AM
54.0;54.544;10/26/17 6:13 AM
54.0;54.42;10/26/17 6:14 AM
54.0;54.209;10/26/17 6:14 AM
54.0;53.7518;10/26/17 6:14 AM
54.0;53.354;10/26/17 6:14 AM
54.0;52.856;10/26/17 6:15 AM
54.0;52.678;10/26/17 6:15 AM
54.0;52.5464;10/26/17 6:15 AM
54.0;52.316;10/26/17 6:15 AM
54.0;52.25;10/26/17 6:16 AM
54.0;52.14;10/26/17 6:16 AM
54.0;52.228;10/26/17 6:16 AM
54.0;52.461;10/26/17 6:16 AM
54.0;52.722;10/26/17 6:17 AM
54.0;53.0055;10/26/17 6:17 AM
54.0;53.251;10/26/17 6:17 AM
54.0;53.446;10/26/17 6:17 AM
54.0;53.64;10/26/17 6:18 AM
54.0;53.787;10/26/17 6:18 AM
54.0;53.9073;10/26/17 6:18 AM
54.0;53.995;10/26/17 6:18 AM
54.0;54.05;10/26/17 6:19 AM
54.0;54.16;10/26/17 6:19 AM
54.0;54.1709;10/26/17 6:19 AM
54.0;54.268;10/26/17 6:19 AM
54.0;54.28;10/26/17 6:20 AM
54.0;54.335;10/26/17 6:20 AM
54.0;54.38;10/26/17 6:20 AM
54.0;54.39;10/26/17 6:20 AM
54.0;54.42;10/26/17 6:21 AM
54.0;54.5;10/26/17 6:21 AM
54.0;54.5;10/26/17 6:21 AM
54.0;54.544;10/26/17 6:21 AM
54.0;54.6;10/26/17 6:22 AM
54.0;54.61;10/26/17 6:22 AM
54.0;54.61;10/26/17 6:22 AM
54.0;54.62;10/26/17 6:22 AM
54.0;54.698;10/26/17 6:23 AM
54.0;54.72;10/26/17 6:23 AM
54.0;54.72;10/26/17 6:23 AM
54.0;54.621;10/26/17 6:23 AM
54.0;54.489;10/26/17 6:24 AM
54.0;54.3091;10/26/17 6:24 AM
54.0;53.981;10/26/17 6:24 AM
54.0;53.4164;10/26/17 6:24 AM
54.0;53.025;10/26/17 6:25 AM
54.0;52.643;10/26/17 6:25 AM
54.0;52.36;10/26/17 6:25 AM
54.0;52.25;10/26/17 6:25 AM
54.0;52.151;10/26/17 6:26 AM
54.0;52.14;10/26/17 6:26 AM
54.0;52.24;10/26/17 6:26 AM
54.0;52.415;10/26/17 6:26 AM
54.0;52.645;10/26/17 6:27 AM
54.0;52.877;10/26/17 6:27 AM
54.0;53.15;10/26/17 6:27 AM
54.0;53.344;10/26/17 6:27 AM
54.0;53.545;10/26/17 6:28 AM
54.0;53.7;10/26/17 6:28 AM
54.0;53.856;10/26/17 6:28 AM
54.0;53.98;10/26/17 6:28 AM
54.0;54.061;10/26/17 6:29 AM
54.0;54.15;10/26/17 6:29 AM
54.0;54.1818;10/26/17 6:29 AM
54.0;54.28;10/26/17 6:29 AM
54.0;54.28;10/26/17 6:30 AM
54.0;54.35;10/26/17 6:30 AM
54.0;54.39;10/26/17 6:30 AM
54.0;54.412;10/26/17 6:30 AM
54.0;54.5;10/26/17 6:31 AM
54.0;54.5;10/26/17 6:31 AM
54.0;54.5;10/26/17 6:31 AM
54.0;54.599;10/26/17 6:31 AM
54.0;54.61;10/26/17 6:32 AM
54.0;54.61;10/26/17 6:32 AM
54.0;54.61;10/26/17 6:32 AM
54.0;54.643;10/26/17 6:32 AM
54.0;54.72;10/26/17 6:33 AM
54.0;54.72;10/26/17 6:33 AM
54.0;54.676;10/26/17 6:33 AM
54.0;54.54;10/26/17 6:33 AM
54.0;54.412;10/26/17 6:34 AM
54.0;54.1945;10/26/17 6:34 AM
54.0;53.835;10/26/17 6:34 AM
54.0;53.477;10/26/17 6:34 AM
54.0;52.9436;10/26/17 6:35 AM
54.0;52.61;10/26/17 6:35 AM
54.0;52.316;10/26/17 6:35 AM
54.0;52.18;10/26/17 6:35 AM
54.0;52.0911;10/26/17 6:36 AM
54.0;51.9955;10/26/17 6:36 AM
54.0;52.184;10/26/17 6:36 AM
54.0;52.36;10/26/17 6:36 AM
54.0;52.6282;10/26/17 6:37 AM
54.0;52.911;10/26/17 6:37 AM
54.0;53.139;10/26/17 6:37 AM
54.0;53.355;10/26/17 6:37 AM
54.0;53.55;10/26/17 6:38 AM
54.0;53.688;10/26/17 6:38 AM
54.0;53.81;10/26/17 6:38 AM
54.0;53.97;10/26/17 6:38 AM
54.0;54.072;10/26/17 6:39 AM
54.0;54.15;10/26/17 6:39 AM
54.0;54.16;10/26/17 6:39 AM
54.0;54.2145;10/26/17 6:39 AM
54.0;54.28;10/26/17 6:40 AM
54.0;54.31;10/26/17 6:40 AM
54.0;54.39;10/26/17 6:40 AM
54.0;54.39;10/26/17 6:40 AM
54.0;54.39;10/26/17 6:41 AM
54.0;54.43;10/26/17 6:41 AM
54.0;54.5;10/26/17 6:41 AM
54.0;54.5;10/26/17 6:41 AM
54.0;54.5;10/26/17 6:42 AM
54.0;54.511;10/26/17 6:42 AM
54.0;54.566;10/26/17 6:42 AM
54.0;54.61;10/26/17 6:42 AM
54.0;54.632;10/26/17 6:43 AM
54.0;54.676;10/26/17 6:43 AM
54.0;54.72;10/26/17 6:43 AM
54.0;54.72;10/26/17 6:43 AM
54.0;54.621;10/26/17 6:44 AM
